word,ranking,word count,probability
voting,189,8,0.0008681497558328812
election,286,6,0.0006511123168746609
electricity,1629,0,0
wifi,1629,0,0
clean water,1629,0,0
toilet,1629,0,0
prosperity,1629,0,0
campaign,1629,0,0
