ranking,word,word count,probability
1,RT,994,0.040311460783518535
2,#democracy,937,0.03799983778084192
3,,614,0.024900640765674425
4,#Democracy,559,0.022670127342039093
5,&amp;,249,0.010098142590639955
6,I,161,0.0065293211128234245
7,The,127,0.005150458269121584
8,election,98,0.003974369373022954
9,run,97,0.0039338145835023115
10,"""Every",87,0.0035282666882958877
11,stolen,85,0.003447157109254603
12,advance,85,0.003447157109254603
13,amuck.,84,0.0034066023197339606
14,"goods.""",84,0.0034066023197339606
15,sort,84,0.0034066023197339606
16,sale,84,0.0034066023197339606
17,Mencken,84,0.0034066023197339606
18,H.L.,84,0.0034066023197339606
19,auction,84,0.0034066023197339606
20,-,83,0.003366047530213318
21,vote,79,0.0032038283721307487
22,it's,70,0.0028388352664449673
23,#Maldives,65,0.0026360613188417554
24,via,59,0.0023927325817179007
25,#democracy.,59,0.0023927325817179007
26,get,54,0.002189958634114689
27,Israel,53,0.0021494038445940464
28,@AlamMaldives:,53,0.0021494038445940464
29,#Democracy.,52,0.002108849055073404
30,This,52,0.002108849055073404
31,#p2,51,0.0020682942655527617
32,For,49,0.001987184686511477
33,one,49,0.001987184686511477
34,#HumanRights,48,0.0019466298969908345
35,http:/…,47,0.0019060751074701922
36,#Israel,46,0.0018655203179495498
37,need,46,0.0018655203179495498
38,@Israel:,46,0.0018655203179495498
39,Can,45,0.0018249655284289074
40,US,45,0.0018249655284289074
41,state,43,0.0017438559493876227
42,If,43,0.0017438559493876227
43,We,43,0.0017438559493876227
44,#TPP,43,0.0017438559493876227
45,#TNTweeters,42,0.0017033011598669803
46,them.,40,0.0016221915808256955
47,#USA,39,0.0015816367913050531
48,Day,39,0.0015816367913050531
49,00,39,0.0015816367913050531
50,#Koch,38,0.0015410820017844108
51,#GOP,37,0.0015005272122637684
52,Our,37,0.0015005272122637684
53,#NoKXL,36,0.001459972422743126
54,resident,36,0.001459972422743126
55,@PCGTW:,36,0.001459972422743126
56,Celebrating,36,0.001459972422743126
57,right,36,0.001459972422743126
58,In,35,0.0014194176332224836
59,Election,35,0.0014194176332224836
60,http://t.co/k…,34,0.0013788628437018413
61,governs,34,0.0013788628437018413
62,850,34,0.0013788628437018413
63,@BenSoffa:,34,0.0013788628437018413
64,don’t,34,0.0013788628437018413
65,#liberty,34,0.0013788628437018413
66,Hebron…but,34,0.0013788628437018413
67,250,34,0.0013788628437018413
68,do.,34,0.0013788628437018413
69,settler,34,0.0013788628437018413
70,defend,33,0.0013383080541811989
71,http://t.co…,33,0.0013383080541811989
72,American,32,0.0012977532646605565
73,http://t.co/C9OLrZjbZA,32,0.0012977532646605565
74,No,32,0.0012977532646605565
75,#democracy?,32,0.0012977532646605565
76,Elections,32,0.0012977532646605565
77,secret,31,0.0012571984751399141
78,#TPP:,31,0.0012571984751399141
79,@ExposeTPP:,30,0.0012166436856192715
80,4,30,0.0012166436856192715
81,State,29,0.0011760888960986292
82,http://t.co/…,29,0.0011760888960986292
83,want,29,0.0011760888960986292
84,Professor,28,0.0011355341065779868
85,As,28,0.0011355341065779868
86,fight,28,0.0011355341065779868
87,#India,27,0.0010949793170573444
88,#IWD2015,27,0.0010949793170573444
89,#freedom,27,0.0010949793170573444
90,true,27,0.0010949793170573444
91,government,26,0.001054424527536702
92,Get,26,0.001054424527536702
93,Gore,26,0.001054424527536702
94,Not,26,0.001054424527536702
95,#NoFastTrack,26,0.001054424527536702
96,How,26,0.001054424527536702
97,#jobs,26,0.001054424527536702
98,corporate,26,0.001054424527536702
99,#ClimateChange,26,0.001054424527536702
100,A,26,0.001054424527536702
101,Publicly,25,0.0010138697380160596
102,#US,25,0.0010138697380160596
103,March,25,0.0010138697380160596
104,#…,25,0.0010138697380160596
105,2,25,0.0010138697380160596
106,open,25,0.0010138697380160596
107,#P2,25,0.0010138697380160596
108,Calls,25,0.0010138697380160596
109,Less,25,0.0010138697380160596
110,Secret,24,0.0009733149484954173
111,#SunshineWeek,24,0.0009733149484954173
112,…,24,0.0009733149484954173
113,#Tcot,24,0.0009733149484954173
114,Dr.,24,0.0009733149484954173
115,@anaira_mt:,24,0.0009733149484954173
116,@steveaoki,24,0.0009733149484954173
117,Funded,24,0.0009733149484954173
118,#ForPresident,24,0.0009733149484954173
119,http://t.co/QCcU5f8ayl,24,0.0009733149484954173
120,#Steve,24,0.0009733149484954173
121,#ISDS,24,0.0009733149484954173
122,#Libcrib,24,0.0009733149484954173
123,world,24,0.0009733149484954173
124,running,24,0.0009733149484954173
125,#MiddleEast,24,0.0009733149484954173
126,#Esteban,24,0.0009733149484954173
127,#America,24,0.0009733149484954173
128,#Mexico,24,0.0009733149484954173
129,Now,23,0.0009327601589747749
130,#Canada,23,0.0009327601589747749
131,look,23,0.0009327601589747749
132,http…,23,0.0009327601589747749
133,ht…,23,0.0009327601589747749
134,w/,23,0.0009327601589747749
135,bad,23,0.0009327601589747749
136,voting,23,0.0009327601589747749
137,#oil,22,0.0008922053694541325
138,http://t…,22,0.0008922053694541325
139,http://t.co/iYo5nb069Z,22,0.0008922053694541325
140,based,22,0.0008922053694541325
141,@jamaica_merino:,22,0.0008922053694541325
142,see,22,0.0008922053694541325
143,without,22,0.0008922053694541325
144,#Obama,22,0.0008922053694541325
145,Every,22,0.0008922053694541325
146,Week,22,0.0008922053694541325
147,Spent,22,0.0008922053694541325
148,#FastTrack,22,0.0008922053694541325
149,#inequality,21,0.0008516505799334901
150,$760,21,0.0008516505799334901
151,legislative,21,0.0008516505799334901
152,could,21,0.0008516505799334901
153,#Fracking,21,0.0008516505799334901
