ranking,word,word count,probability
1,RT,441,0.04785675529028757
2,#Democracy,321,0.03483450895279436
3,,247,0.026804123711340205
4,!,200,0.02170374389582203
5,#democracy,198,0.02148670645686381
6,#BecauseOfNehru,129,0.01399891481280521
7,4,111,0.012045577862181226
8,indian,103,0.011177428106348345
9,#Pakistan,96,0.010417797069994574
10,#BlackDay,95,0.010309278350515464
11,#FreeBalochs,95,0.010309278350515464
12,@MediaVsIndia:,93,0.010092240911557243
13,&amp;,92,0.009983722192078133
14,@DrJwalaG:,78,0.008464460119370592
15,#Democracy.,71,0.007704829083016821
16,http://t.co/jLc5ny7PVP,68,0.00737927292457949
17,@INCAseemKP:,56,0.006077048290830168
18,http:…,49,0.005317417254476397
19,I,42,0.004557786218122626
20,If,42,0.004557786218122626
21,need,41,0.004449267498643516
22,pay,40,0.004340748779164406
23,TOLL,40,0.004340748779164406
24,silent,40,0.004340748779164406
25,TAX?,40,0.004340748779164406
26,not,40,0.004340748779164406
27,Did,40,0.004340748779164406
28,#MediaWhores?,40,0.004340748779164406
29,Shout!,40,0.004340748779164406
30,#Raped.,40,0.004340748779164406
31,#AK,40,0.004340748779164406
32,Go,40,0.004340748779164406
33,biggest,39,0.004232230059685296
34,http://t.co/1GQ…,36,0.003906673901247965
35,The,34,0.003689636462289745
36,u,33,0.003581117742810635
37,They,32,0.003472599023331525
38,place,32,0.003472599023331525
39,http:/…,31,0.0033640803038524143
40,@Swamy39,31,0.0033640803038524143
41,traitor,30,0.0032555615843733042
42,#mosque,30,0.0032555615843733042
43,think,30,0.0032555615843733042
44,non,30,0.0032555615843733042
45,worship,30,0.0032555615843733042
46,checkup,30,0.0032555615843733042
47,&amp;destroyer,30,0.0032555615843733042
48,face,30,0.0032555615843733042
49,mental,30,0.0032555615843733042
50,#Maldives,29,0.003147042864894194
51,Israel,29,0.003147042864894194
52,take,28,0.003038524145415084
53,r,28,0.003038524145415084
54,one,28,0.003038524145415084
55,#spit,28,0.003038524145415084
56,#bastard,28,0.003038524145415084
57,forced,28,0.003038524145415084
58,please,27,0.002930005425935974
59,#Jusitce,27,0.002930005425935974
60,pillar,27,0.002930005425935974
61,merger,27,0.002930005425935974
62,help,27,0.002930005425935974
63,subjudice,27,0.002930005425935974
64,DrJwalaG:,27,0.002930005425935974
65,invited,26,0.0028214867064568637
66,anyone,26,0.0028214867064568637
67,find,26,0.0028214867064568637
68,2#slap,26,0.0028214867064568637
69,good,26,0.0028214867064568637
70,All,26,0.0028214867064568637
71,him2mentalhospital,26,0.0028214867064568637
72,What,25,0.0027129679869777536
73,In,23,0.0024959305480195333
74,@PMOIndia,23,0.0024959305480195333
75,main,21,0.002278893109061313
76,Kerala,21,0.002278893109061313
77,It's,21,0.002278893109061313
78,n,21,0.002278893109061313
79,matter.,21,0.002278893109061313
80,Pls,20,0.002170374389582203
81,How,19,0.002061855670103093
82,@crguna,19,0.002061855670103093
83,And,19,0.002061855670103093
84,change,19,0.002061855670103093
85,http://t.co/71FPQd5biy,19,0.002061855670103093
86,A,19,0.002061855670103093
87,#India,18,0.0019533369506239827
88,Assembly,18,0.0019533369506239827
89,#AAP,18,0.0019533369506239827
90,always,18,0.0019533369506239827
91,KILLED,17,0.0018448182311448726
92,outside!,17,0.0018448182311448726
93,@AOLSwamiji:,17,0.0018448182311448726
94,announced,17,0.0018448182311448726
95,WE,17,0.0018448182311448726
96,says:,17,0.0018448182311448726
97,BAN,17,0.0018448182311448726
98,inside,17,0.0018448182311448726
99,CJI,17,0.0018448182311448726
100,CANT,17,0.0018448182311448726
101,Legislative,17,0.0018448182311448726
102,oday,17,0.0018448182311448726
103,India,16,0.0017362995116657625
104,That's,16,0.0017362995116657625
105,@Israel:,16,0.0017362995116657625
106,like,15,0.0016277807921866521
107,#democracy.,15,0.0016277807921866521
108,it's,15,0.0016277807921866521
109,meeting,15,0.0016277807921866521
110,@FollowSnehaHere:,14,0.001519262072707542
111,Internal,14,0.001519262072707542
112,numbers.,14,0.001519262072707542
113,nowhere.,14,0.001519262072707542
114,depends,14,0.001519262072707542
115,#Sto…,14,0.001519262072707542
116,attended,14,0.001519262072707542
117,Those,14,0.001519262072707542
118,opinion,14,0.001519262072707542
119,#Voters.,14,0.001519262072707542
120,#Israel,14,0.001519262072707542
121,evolve,14,0.001519262072707542
122,who've,14,0.001519262072707542
123,tough,14,0.001519262072707542
124,consensus.,14,0.001519262072707542
125,difficulty,14,0.001519262072707542
126,Even,14,0.001519262072707542
127,right?,14,0.001519262072707542
128,know.,14,0.001519262072707542
129,large,14,0.001519262072707542
130,Is,13,0.0014107433532284319
131,get,13,0.0014107433532284319
132,#BJP,13,0.0014107433532284319
133,separate,12,0.0013022246337493217
134,based,12,0.0013022246337493217
135,say,12,0.0013022246337493217
136,Art!,12,0.0013022246337493217
137,parliamentary,12,0.0013022246337493217
138,legislative,12,0.0013022246337493217
139,#Dexterous,12,0.0013022246337493217
140,#Apparently,12,0.0013022246337493217
141,Art,12,0.0013022246337493217
142,person,12,0.0013022246337493217
143,used,12,0.0013022246337493217
144,unicameral,12,0.0013022246337493217
145,judicial,12,0.0013022246337493217
146,news,12,0.0013022246337493217
147,Big,12,0.0013022246337493217
148,it!,12,0.0013022246337493217
149,word,12,0.0013022246337493217
150,force,12,0.0013022246337493217
151,@lawr…,12,0.0013022246337493217
152,Law,11,0.0011937059142702116
153,#…,11,0.0011937059142702116
154,#Democracy?,11,0.0011937059142702116
155,This,11,0.0011937059142702116
156,Read,10,0.0010851871947911015
157,extrajudicial,10,0.0010851871947911015
158,side,10,0.0010851871947911015
159,bring,10,0.0010851871947911015
160,paid,10,0.0010851871947911015
161,#Lynching,10,0.0010851871947911015
162,#rapists,10,0.0010851871947911015
163,!On,10,0.0010851871947911015
164,Nothing,10,0.0010851871947911015
165,punishment!Not,10,0.0010851871947911015
166,#Indian,10,0.0010851871947911015
167,#InternalDemocra…,10,0.0010851871947911015
168,interviewed,10,0.0010851871947911015
169,#Nag…,10,0.0010851871947911015
170,But,10,0.0010851871947911015
171,want,10,0.0010851871947911015
172,vote,9,0.0009766684753119914
173,still,9,0.0009766684753119914
174,control,9,0.0009766684753119914
175,Celebrating,9,0.0009766684753119914
176,right,9,0.0009766684753119914
177,Elections,9,0.0009766684753119914
178,Please,9,0.0009766684753119914
179,#Kerala,9,0.0009766684753119914
180,#MvInjustice,8,0.0008681497558328812
181,Crisis,8,0.0008681497558328812
182,#media,8,0.0008681497558328812
183,gutsy,8,0.0008681497558328812
184,#Journalist,8,0.0008681497558328812
185,http://t.co/uzBBIJ…,8,0.0008681497558328812
186,bodies.,8,0.0008681497558328812
187,success,8,0.0008681497558328812
188,#elections,8,0.0008681497558328812
189,voting,8,0.0008681497558328812
190,#PartialEmergency,8,0.0008681497558328812
191,@Ostrov_A:,8,0.0008681497558328812
192,resident,8,0.0008681497558328812
193,http://t.co/C9OLrZjbZA,8,0.0008681497558328812
194,don’t,8,0.0008681497558328812
195,Leader,8,0.0008681497558328812
196,matures,8,0.0008681497558328812
197,justifies,8,0.0008681497558328812
198,00,8,0.0008681497558328812
199,medium,8,0.0008681497558328812
200,poisoning,8,0.0008681497558328812
201,manifestation,8,0.0008681497558328812
202,doesn't,8,0.0008681497558328812
203,#mirror,8,0.0008681497558328812
204,nation,8,0.0008681497558328812
205,http://t.co/k…,8,0.0008681497558328812
206,Why,8,0.0008681497558328812
207,till,8,0.0008681497558328812
208,http…,8,0.0008681497558328812
209,Guv,8,0.0008681497558328812
210,Allowing,8,0.0008681497558328812
211,govt.!,8,0.0008681497558328812
212,#Dictator.,8,0.0008681497558328812
213,✵,8,0.0008681497558328812
214,Day,8,0.0008681497558328812
215,Not,8,0.0008681497558328812
216,Today,8,0.0008681497558328812
217,"""demeaning""the",8,0.0008681497558328812
218,propagandist.,8,0.0008681497558328812
219,anti-national,8,0.0008681497558328812
220,Sir,8,0.0008681497558328812
221,called,8,0.0008681497558328812
222,others,8,0.0008681497558328812
223,info,8,0.0008681497558328812
224,governs,8,0.0008681497558328812
225,Hebron…but,8,0.0008681497558328812
226,world's,8,0.0008681497558328812
227,protectee?,8,0.0008681497558328812
228,just4,8,0.0008681497558328812
229,people,8,0.0008681497558328812
230,#IsraelEX,8,0.0008681497558328812
231,understand,8,0.0008681497558328812
232,citizen,8,0.0008681497558328812
233,250,8,0.0008681497558328812
234,country,8,0.0008681497558328812
235,them.,8,0.0008681497558328812
236,watch,8,0.0008681497558328812
237,executive,8,0.0008681497558328812
238,Election,8,0.0008681497558328812
239,do.,8,0.0008681497558328812
240,#India!,8,0.0008681497558328812
241,Ban,8,0.0008681497558328812
242,#Arnab,8,0.0008681497558328812
243,#Justice,8,0.0008681497558328812
244,beautiful,8,0.0008681497558328812
245,#Opposition,8,0.0008681497558328812
246,850,8,0.0008681497558328812
247,settler,8,0.0008681497558328812
248,@BenSoffa:,8,0.0008681497558328812
249,SPG,8,0.0008681497558328812
250,@timesnow,8,0.0008681497558328812
251,#MUST…,7,0.000759631036353771
252,day,7,0.000759631036353771
253,oppose.…,7,0.000759631036353771
254,#freedom,7,0.000759631036353771
255,make,7,0.000759631036353771
256,political,7,0.000759631036353771
257,#StopMerger,7,0.000759631036353771
258,Discourse,7,0.000759631036353771
259,People,7,0.000759631036353771
260,@ShashiTharoor,7,0.000759631036353771
261,never,7,0.000759631036353771
262,important,6,0.0006511123168746609
263,eat,6,0.0006511123168746609
264,survive.,6,0.0006511123168746609
265,leader,6,0.0006511123168746609
266,taking,6,0.0006511123168746609
267,"#democracy""",6,0.0006511123168746609
268,#GandhiStatue,6,0.0006511123168746609
269,@shaftil:,6,0.0006511123168746609
270,@ndtv,6,0.0006511123168746609
